Price,Close,High,Low,Open,Volume
Ticker,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS
Date,,,,,
2023-01-02,49.59734344482422,49.8594163412324,48.581810502619234,48.68008643290239,16344105
2023-01-03,49.826656341552734,50.02321194575535,49.30250681401699,49.597342094814074,10859731
2023-01-04,49.00767517089844,49.95769079823142,48.51628803600113,49.924932155769774,8710752
2023-01-05,49.466304779052734,49.5645844576407,48.483530487091514,49.10595595486061,7324356
2023-01-06,49.335269927978516,49.72837739315386,48.68008582070442,49.433545857025756,8076379
2023-01-09,50.41632080078125,50.612876410424846,49.66286075463616,49.72837804152188,15335931
2023-01-10,51.59565353393555,52.054282065213194,50.31804762479732,50.54736189043615,36685590
2023-01-11,50.58012008666992,51.92324327435722,50.15425020440877,51.759446300644484,13978857
2023-01-12,51.202537536621094,51.300817212186026,50.25252191708239,50.77666769014106,18534366
2023-01-13,50.612876892089844,51.071505402627366,48.28697569564763,51.071505402627366,41603080
2023-01-16,49.49906539916992,50.8421923179521,49.40078946564337,50.645636701912444,11901637
2023-01-17,48.61457061767578,50.58011927473013,47.992145126748184,48.28697667550903,56133672
2023-01-18,48.745601654052734,48.90939861323649,48.3524942005925,48.68008436997374,10135534
2023-01-19,48.68008804321289,48.843885014756225,48.057666299524016,48.516291071669556,11815812
2023-01-20,47.82835006713867,48.68008985202841,47.46800121513765,48.516292874398836,33414445
2023-01-23,48.024898529052734,48.25421276394425,47.435235495895185,47.89386396567823,12076575
2023-01-24,48.352500915527344,48.647332483813706,47.959389658487666,48.05766934724098,10079661
2023-01-25,47.599037170410156,48.41801451969294,47.107650011043184,48.35249723150707,10755367
2023-01-27,46.911094665527344,48.02490356699679,46.05935491829868,47.56627879808889,19400304
2023-01-30,47.89386749267578,48.09042310119841,46.22315044371303,46.911093199049034,19037101
2023-01-31,49.466304779052734,50.252523462824435,48.057664376498344,48.15594030609991,23899842
2023-02-01,48.54905319213867,49.95769364313789,47.566278866378674,49.72837938386145,13454178
2023-02-02,49.105953216552734,49.40078473790305,47.631791860814936,48.352493217996944,21250107
2023-02-03,49.7283821105957,50.44908357227004,48.87664606442789,49.335274608128536,21671890
2023-02-06,51.497371673583984,51.7594408053218,49.33526759587115,49.72837504246408,22104030
2023-02-07,52.48014831542969,52.80773849408114,51.36633570963655,51.497374030488956,39149149
2023-02-08,52.90601348876953,53.36464198017496,51.75944226025597,52.48014738873848,41891415
2023-02-09,51.95600128173828,53.69223568543577,51.36633818198689,53.69223568543577,37864893
2023-02-10,52.5456657409668,53.16808745695685,51.82496434682973,52.0542785971909,20582980
2023-02-13,52.11979675292969,52.93877408989221,51.82496521154209,52.70945983570488,12741529
2023-02-14,52.41462707519531,53.06981117891815,51.595649757281535,52.34910978951894,13355443
2023-02-15,52.48014831542969,53.03705274383307,52.15255438779186,52.61118288729572,8324116
2023-02-16,52.51291275024414,52.938778904765506,52.38187441493902,52.67670598314206,11105386
2023-02-17,52.21807098388672,52.77497915391932,51.79220488196174,52.61118219226428,7559548
2023-02-20,53.69223403930664,55.19915413601483,53.26636792431446,53.72499268284554,46480078
2023-02-21,53.823272705078125,54.052586960296665,53.26636826339873,54.01982831654922,12453493
2023-02-22,53.75775146484375,54.01982434453984,53.266364346790304,53.397398912145256,19416834
2023-02-23,53.95431137084961,54.18362187853434,53.10257163207465,53.79051440208831,14527701
2023-02-24,54.01982879638672,54.38017762979585,53.49568299379898,54.05258744042514,8509320
2023-02-27,51.39909362792969,54.18361947967407,50.90770649238736,54.18361947967407,15409105
2023-02-28,52.1853141784668,53.33188545244291,51.628409737815446,51.628409737815446,18410106
2023-03-01,53.331886291503906,53.462924617299834,52.28359468108256,52.41462925789197,11773822
2023-03-02,52.90601348876953,53.3318833377869,52.742216527842935,53.069810449696135,6612655
2023-03-03,52.447383880615234,53.462920517953,52.18531099810471,53.430158127276236,13098846
2023-03-06,54.5112190246582,54.93708891911294,53.72499652751508,53.72499652751508,27097054
2023-03-08,54.74053192138672,54.871566501631776,53.85603350878614,54.150865063324126,10075456
2023-03-09,54.18362045288086,54.969842883059194,53.659474665419566,54.83880456170067,9390082
2023-03-10,54.41293716430664,54.543975491591276,53.29912825282674,53.75775677484313,7752126
2023-03-13,52.283592224121094,54.183619741475205,51.955998299519145,53.79051228053375,11594085
2023-03-14,51.628414154052734,52.545671251694785,51.235302898209916,52.34911562377338,11070147
2023-03-15,50.31804656982422,52.34911252376743,49.79389701007725,51.95600129120385,7833699
2023-03-16,44.880027770996094,46.71454195668778,43.27483160750263,46.71454195668778,629861299
2023-03-17,44.4213981628418,45.731762618579225,43.50414116933242,45.469689727431735,42735310
2023-03-20,42.94723892211914,44.25760344430507,42.68516601768195,43.60241930871883,50692723
2023-03-21,42.94723892211914,43.43862608656218,42.2920547865329,43.307587759850314,33706230
2023-03-22,42.881717681884766,43.50414317010207,42.68516581622443,43.209311622625044,32063304
2023-03-23,42.75068283081055,42.8817174070777,42.292054315902504,42.8817174070777,21396952
2023-03-24,42.42308807373047,43.40586237272016,42.06273924696125,42.75068200605132,20444788
2023-03-27,42.02998352050781,42.521370704106104,41.60411362832618,42.42309101799443,26154885
2023-03-28,41.211002349853516,42.226535269586314,40.49030096343244,42.128255592491506,33483847
2023-03-29,42.29205322265625,42.58688476062248,41.04720603536497,41.211003000451285,30268953
2023-03-31,43.962772369384766,44.028289658953746,42.4558522153787,42.84895970177917,22257579
2023-04-03,44.29035949707031,44.51967374365776,43.93001068042508,44.45415645862887,11383434
2023-04-05,44.25760269165039,44.5196755916307,43.79897417943822,44.290361335524615,8557086
2023-04-06,44.48691177368164,44.61795008292455,43.89724500556759,44.22483890418185,7116240
2023-04-10,44.519676208496094,44.8800250450921,43.962771756944754,44.650714534795156,10099228
2023-04-11,44.78174591064453,45.01106015353424,44.355876066851316,44.55243166775482,10143691
2023-04-12,45.109344482421875,45.79728353307959,44.74899188542341,45.109344482421875,19766322
2023-04-13,44.74898910522461,45.6334874710984,44.42139892293149,45.305893539818854,8728773
2023-04-17,45.109344482421875,45.20762041851965,44.15932877086346,44.68347459469155,9565654
2023-04-18,45.01106262207031,45.40417384543667,44.74898972282156,45.37141145266741,13915387
2023-04-19,45.20761489868164,45.56796370269496,44.6179518561194,45.011059301498825,15196144
